id,Artist Name,id_sex,id_country,id_language,id_genre,id_arist_type,Debut Year
1,Drake,1,1,1,1,1,2006
2,Taylor Swift,2,2,1,2,1,2006
3,Bad Bunny,1,2,2,3,1,2013
4,The Weeknd,1,1,1,4,1,2009
5,Justin Bieber,1,1,1,2,1,2009
6,Ariana Grande,2,2,1,2,1,2013
7,Travis Scott,1,2,1,1,1,2013
8,Kanye West,1,2,1,1,1,2004
9,Ed Sheeran,1,3,1,2,1,2011
10,Eminem,1,2,1,1,1,1996
11,Rihanna,2,4,1,2,1,2005
12,Billie Eilish,2,2,1,2,1,2015
13,Bruno Mars,1,2,1,2,1,2010
14,Kendrick Lamar,1,2,1,1,1,2009
15,Post Malone,1,2,1,2,1,2011
16,J Balvin,1,5,2,3,1,2004
17,Future,1,2,1,1,1,2010
18,BTS,1,6,3,5,2,2013
19,Ozuna,1,2,2,3,1,2012
20,Coldplay,1,3,1,6,2,1999
21,Juice WRLD,1,2,1,1,1,2015
22,Chris Brown,1,2,1,4,1,2005
23,Nicki Minaj,2,7,1,1,1,2007
24,Lana Del Rey,2,2,1,7,1,2010
25,David Guetta,1,8,1,8,1,1990
26,Dua Lipa,2,3,1,2,1,2015
27,Daddy Yankee,1,2,2,3,1,1991
28,Rauw Alejandro,1,2,2,3,1,2014
29,Anuel AA,1,2,2,3,1,2011
30,XXXTENTACION,1,2,1,1,1,2013
31,Imagine Dragons,1,2,1,6,2,2012
32,Lil Wayne,1,2,1,1,1,1997
33,21 Savage,1,3,1,1,1,2014
34,SZA,2,2,1,4,1,2012
35,Arijit Singh,1,9,4,9,1,2011
36,Lady Gaga,2,2,1,2,1,2008
37,KAROL G,2,5,2,3,1,2007
38,Lil Baby,1,2,1,1,1,2017
39,Maroon 5,2,2,1,2,2,2002
40,Khalid,1,2,1,4,1,2016
41,Beyoncé,2,2,1,2,1,2003
42,Maluma,1,5,2,10,1,2010
43,Feid,1,5,2,3,1,2015
44,Calvin Harris,1,10,1,8,1,2007
45,Myke Towers,1,2,2,3,1,2016
46,Linkin Park,2,2,1,6,2,2000
47,Peso Pluma,1,11,2,11,1,2020
48,J. Cole,1,2,1,1,1,2007
49,Lil Uzi Vert,1,2,1,1,1,2014
50,Sia,2,12,1,2,1,1997
51,Doja Cat,2,2,1,2,1,2012
52,Shakira,2,5,2,10,1,1991
53,Morgan Wallen,1,2,1,12,1,2014
54,Young Thug,1,2,1,1,1,2011
55,Farruko,1,2,2,3,1,2009
56,Shawn Mendes,1,1,1,2,1,2014
57,Harry Styles,1,3,1,2,1,2010
58,Queen,1,3,1,6,2,1973
59,Sam Smith,1,3,1,2,1,2012
60,One Direction,2,3,1,2,2,2011
61,Metro Boomin,1,2,1,1,1,2013
62,Olivia Rodrigo,2,2,1,2,1,2021
63,Adele,2,3,1,2,1,2008
64,Pritam,1,9,4,2,1,2001
65,Katy Perry,2,2,1,2,1,2001
66,Gunna,1,2,1,1,1,2013
67,Arctic Monkeys,1,3,1,6,2,2005
68,Fuerza Regida,1,2,2,10,2,2018
69,Junior H,1,11,2,11,1,2019
70,Tyler,2,13,5,13,3,Solo
71,Selena Gomez,2,2,1,2,1,2008
72,Ty Dolla $ign,1,2,1,4,1,2011
73,The Beatles,1,3,1,6,2,1962
74,Pitbull,1,2,1,2,1,2004
75,Nicky Jam,1,2,2,3,1,1995
76,Playboi Carti,1,2,1,1,1,2011
77,Halsey,2,2,1,2,1,2014
78,Wiz Khalifa,1,2,1,1,1,2006
79,Michael Jackson,1,2,1,2,1,1964
80,Sabrina Carpenter,2,2,1,2,1,2014
81,Frank Ocean,1,2,1,4,1,2011
82,Die drei ???,1,14,6,14,2,1979
83,JAŸ-Z,1,2,1,1,1,1996
84,A$AP Rocky,1,2,1,1,1,2011
85,Miley Cyrus,2,2,1,2,1,2006
86,The Chainsmokers,1,2,1,8,2,2012
87,Marshmello,1,2,1,8,1,2015
88,Cardi B,2,2,1,1,1,2015
89,Twenty One Pilots,1,2,1,7,2,2009
90,Disney,2,2,1,15,2,1949
91,Arcángel,1,2,2,3,1,2004
92,Red Hot Chili Peppers,2,2,1,6,2,1984
93,Camila Cabello,2,15,1,2,1,2012
94,$uicideboy$,1,2,1,1,2,2014
95,OneRepublic,2,2,1,2,2,2007
96,Avicii,1,16,1,8,1,2006
97,Diplo,1,2,1,8,1,2002
98,Snoop Dogg,1,2,1,1,1,1993
99,Romeo Santos,1,2,2,16,1,2011
100,50 Cent,1,2,1,1,1,2003
101,Natanael Cano,1,11,2,11,1,2018
102,YoungBoy Never Broke Again,1,2,1,1,1,2015
103,Mac Miller,1,2,1,1,1,2007
104,DaBaby,1,2,1,1,1,2015
105,Don Toliver,1,2,1,1,1,2017
106,Zach Bryan,1,2,1,12,1,2019
107,Kygo,1,17,1,8,1,2013
108,Sech,1,18,2,3,1,2014
109,The Neighbourhood,1,2,1,7,2,2011
110,Quavo,1,2,1,1,1,2008
111,Henrique & Juliano,1,19,7,17,2,2008
112,Luke Combs,1,2,1,12,1,2014
113,Elton John,1,3,1,6,1,1969
114,Manuel Turizo,1,5,2,10,1,2016
115,Trippie Redd,1,2,1,1,1,2016
116,Tate McRae,2,1,1,2,1,2017
117,Lil Peep,1,2,1,1,1,2014
118,Metallica,1,2,1,6,2,1983
119,Don Omar,1,2,2,3,1,2003
120,USHER,1,2,1,4,1,1994
121,Charlie Puth,1,2,1,2,1,2015
122,Justin Timberlake,1,2,1,2,1,2002
123,Tiësto,1,20,1,8,1,1994
124,Sean Paul,1,21,1,18,1,1996
125,Tyga,1,2,1,1,1,2008
126,Kali Uchis,2,5,1,4,1,2012
127,Kodak Black,1,2,1,1,1,2009
