id_developer,developer
1,Valve
2,Respawn
3,Pubg Corporation
4,Pocketpair
5,"Treyarch, Raven Software, Beenox, High Moon Studios, Activision Shanghai, Sledgehammer Games, Infinity Ward, Demonware, Toys For Bob"
6,Amazon Games
7,Game Science
8,Rockstar North
9,Smartly Dressed Games
10,Smilegate Rpg
11,Gaijin Entertainment
12,"Capcom Co., Ltd."
13,Arrowhead Game Studios
14,Digital Extremes
15,"Fromsoftware, Inc."
16,Re-Logic
17,Grinding Gear Games
18,Wallpaper Engine Team
19,Larian Studios
20,Blue Mammoth Games
21,Facepunch Studios
22,Bungie
23,Ubisoft Montreal
24,Wargaming Group Limited
25,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement Llc"
26,Concernedape
27,Endnight Games Ltd
28,My.Games
29,Overkill - A Starbreeze Studio.
30,"Rockstar North, Rockstar Toronto"
31,Eleventh Hour Games
32,Cd Projekt Red
33,Behaviour Interactive Inc.
34,Avalanche Software
35,Vrchat Inc.
36,Innersloth
37,Mediatonic
38,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)"
39,Scs Software
40,Iron Gate Ab
41,Kinetic Games
42,Evil Mojo Games
43,24 Entertainment
44,Tlm Partners
45,Psyonix Llc
46,The Indie Stone
47,Zeekerss
48,Rockstar Games
49,Dice
50,343 Industries
51,Redbeet Interactive
52,Titan Forge Games
53,Tvgs
54,Aurora Studio
55,Maxis
56,"Valofe, Ns Studio"
57,Klei Entertainment
58,Techland
59,No Brakes Games
60,The Fun Pimps
61,Konami
62,Crazy Rocks Studios
63,Daybreak Game Company
64,Crytek
65,Megame Llc
66,Bohemia Interactive
67,Crate Entertainment
68,Colossal Order
69,Taleworlds Entertainment
70,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
71,Gamigo Us Inc.
72,Bethesda Game Studios
73,"Dontnod Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)"
74,Owlcat Games
75,Semiwork
76,Coffee Stain Studios
77,Visual Concepts
78,Hopoo Games
79,Ea Canada &Amp; Ea Romania
80,The Behemoth
81,Rogue Planet Games
82,Paradox Development Studio
83,Robtop Games
84,No More Room In Hell Team
85,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes"
86,Hello Games
87,Team Cherry
88,Freejam
89,World Makers
90,Beamng
91,Gone North Games
92,Unknown Worlds Entertainment
93,Clifftop Games
94,Drinkbox Studios
95,"Zorro, Wilnyl, Philip, Thepethen, Skog"
96,"Treyarch, Aspyr (Mac)"
97,Splash Damage
98,Rare Ltd
99,Obsidian Entertainment
100,"Nicalis, Inc., Edmund Mcmillen"
101,Northwood Studios
102,Infinity Ward
103,Pearl Abyss
104,"Arsi ""Hakita"" Patala"
105,Hazelight Studios
106,"Ea Canada, Ea Romania"
107,Saber Interactive
108,Torn Banner Studios
109,Zenimax Online Studios
110,Kunos Simulazioni
111,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)"
112,Poncle
113,Player First Games
114,"Paradox Development Studio, Paradox Tinto"
115,Playsaurus
116,"Expansive Worlds, Avalanche Studios"
117,Id Software
118,Turtle Rock Studios
119,Dani
120,Kog
121,Broadsword
122,Blender Foundation
123,Playground Games
124,Supergiant Games
125,"Sgtokidoki, Vilaskis, Theliquidhorse"
126,Wube Software Ltd.
127,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires"
128,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)"
129,Heroic Leap Games
130,"Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)"
131,Tobyfox
132,"343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive"
133,Mega Crit
