appid,name,developer,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
3380,Dynomite Deluxe,"PopCap Games, Inc.",Electronic Arts,334,17,"100,000 .. 200,000",0,0,0,0,499,499,0,0
3380,Dynomite Deluxe,"PopCap Games, Inc.",Electronic Arts,334,17,"100,000 .. 200,000",0,0,0,0,499,499,0,0
9980,The UnderGarden,Artech Studios,Atari,60,31,"20,000 .. 50,000",0,0,0,0,699,699,0,0
9980,The UnderGarden,Artech Studios,Atari,60,31,"20,000 .. 50,000",0,0,0,0,699,699,0,0
12420,Perimeter 2: New Earth,KDV Games,Strategy First,16,55,"0 .. 20,000",0,0,0,0,599,599,0,0
12420,Perimeter 2: New Earth,KDV Games,Strategy First,16,55,"0 .. 20,000",0,0,0,0,599,599,0,0
12570,Hot Dish,Zemnott,Ziggurat,14,18,"0 .. 20,000",0,0,0,0,999,999,0,0
12570,Hot Dish,Zemnott,Ziggurat,14,18,"0 .. 20,000",0,0,0,0,999,999,0,0
15160,Petz Horsez 2,Ubisoft,,157,52,"0 .. 20,000",0,0,0,0,999,999,0,1
15160,Petz Horsez 2,Ubisoft,,157,52,"0 .. 20,000",0,0,0,0,999,999,0,1
16300,Everyday Shooter,Queasy Games,,110,6,"20,000 .. 50,000",0,0,0,0,999,999,0,0
16300,Everyday Shooter,Queasy Games,,110,6,"20,000 .. 50,000",0,0,0,0,999,999,0,0
17180,Mosby's Confederacy,"Tilted Mill Entertainment, Inc.",,25,14,"20,000 .. 50,000",0,0,0,0,999,999,0,0
17180,Mosby's Confederacy,"Tilted Mill Entertainment, Inc.",,25,14,"20,000 .. 50,000",0,0,0,0,999,999,0,0
19030,Rocket Knight,Climax Studios,KONAMI,124,43,"0 .. 20,000",0,0,0,0,1499,1499,0,0
19030,Rocket Knight,Climax Studios,KONAMI,124,43,"0 .. 20,000",0,0,0,0,1499,1499,0,0
21030,Watchmen: The End is Nigh Part 2,Deadline Games,Warner Bros. Games,236,101,"20,000 .. 50,000",0,0,0,0,499,499,0,0
21030,Watchmen: The End is Nigh Part 2,Deadline Games,Warner Bros. Games,236,101,"20,000 .. 50,000",0,0,0,0,499,499,0,0
23700,Puzzle Kingdoms,Infinite Interactive,Strategy First,178,137,"50,000 .. 100,000",0,0,0,0,1499,1499,0,2
