appid,name,developer,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
40800,Super Meat Boy,Team Meat,,33571,1923,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,72
12900,AudioSurf,Dylan Fitterer,,10490,470,"1,000,000 .. 2,000,000",0,0,0,0,999,999,0,11
247120,Portal 2 Sixense Perceptual Pack,,Sixense,299,225,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,0
2713550,Cursed Dawn,Cursed Studios,,2,7,"1,000,000 .. 2,000,000",0,0,0,0,899,1499,40,0
1789480,Marauders,Small Impact Games,,14768,5911,"1,000,000 .. 2,000,000",0,0,0,0,2999,2999,0,17
1108320,妄想破绽 Broken Delusion,,bilibili,2443,1589,"500,000 .. 1,000,000",0,0,0,0,699,699,0,0
385770,Time Clickers,Proton Studio Inc,,4420,628,"500,000 .. 1,000,000",0,0,0,0,0,0,0,146
343780,Cat Goes Fishing,Cat5Games,,13316,840,"500,000 .. 1,000,000",0,0,0,0,699,699,0,117
396160,Secret Of Magia,,Senpai Industrial Studios,463,445,"500,000 .. 1,000,000",0,0,0,0,199,199,0,1
353380,Steam Link,,Anima Locus,5693,1722,"500,000 .. 1,000,000",0,0,0,0,0,0,0,1
214190,Minimum,,"Atari Inc., Cubed Productions LLC",2405,1590,"500,000 .. 1,000,000",0,0,0,0,0,0,0,0
258180,Deus Ex: The Fall,,Eidos Interactive Corp.,1639,2849,"500,000 .. 1,000,000",0,0,0,0,149,999,85,2
1110390,Unturned - Dedicated Server,,Brown Studios,1319,238,"500,000 .. 1,000,000",0,0,0,0,0,0,0,24
253940,Septerra Core,,Topware Interactive,893,289,"200,000 .. 500,000",0,0,0,0,399,799,50,4
26500,Cogs,"Lazy 8 Studios, https://lazy8studios.com",,795,104,"200,000 .. 500,000",0,0,0,0,599,599,0,0
695920,Super Seducer : How to Talk to Girls,RLR Training Inc,,1463,301,"200,000 .. 500,000",0,0,0,0,1299,1299,0,5
208730,Game of Thrones,Cyanide Studios,,1681,640,"200,000 .. 500,000",0,0,0,0,1499,1499,0,2
314450,Star Saviors,Sharpened Edge Studios,,1378,297,"200,000 .. 500,000",0,0,0,0,199,199,0,0
247910,Sniper Elite: Nazi Zombie Army 2,,Rebellion,3493,628,"200,000 .. 500,000",0,0,0,0,1499,1499,0,7
253650,Sparkle 2 Evo,,Forever Entertainment S. A.,1540,554,"200,000 .. 500,000",0,0,0,0,499,499,0,1
220660,StarDrive,Zero Sum Games,,658,815,"200,000 .. 500,000",0,0,0,0,2999,2999,0,4
65300,Dustforce DX,Hitbox Team,,2056,283,"200,000 .. 500,000",0,0,0,0,999,999,0,9
