id_publisher,publisher
1,Valve
2,Electronic Arts
3,"Krafton, Inc."
4,Pocketpair
5,Activision
6,Amazon Games
7,Game Science
8,Rockstar Games
9,Smartly Dressed Games
10,Gaijin Network Ltd
11,"Capcom Co., Ltd."
12,Playstation Publishing Llc
13,Digital Extremes
14,"Fromsoftware, Inc., Bandai Namco Entertainment"
15,Re-Logic
16,Grinding Gear Games
17,Wallpaper Engine Team
18,Larian Studios
19,Ubisoft
20,Bungie
21,Facepunch Studios
22,Wargaming Group Limited
23,"Studio Wildcard, Snail Games Usa"
24,Concernedape
25,Endnight Games Ltd
26,My.Games
27,Starbreeze Entertainment
28,"Eleventh Hour Games, Krafton, Inc"
29,Cd Projekt Red
30,Behaviour Interactive Inc.
31,Warner Bros. Games
32,Vrchat Inc.
33,Innersloth
34,Ravenscourt
35,"2K, Aspyr (Mac), Aspyr (Linux)"
36,Scs Software
37,Coffee Stain Publishing
38,Kinetic Games
39,Hi-Rez Studios
40,Netease Games Global
41,Tlm Partners
42,Psyonix Llc
43,The Indie Stone
44,Zeekerss
45,Xbox Game Studios
46,Axolot Games
47,Tvgs
48,Tch Scarlet Limited
49,Valofe
50,Klei Entertainment
51,Techland
52,Curve Games
53,The Fun Pimps Entertainment Llc
54,Konami
55,Crazy Rocks Studios
56,Daybreak Game Company
57,Crytek
58,"Activision (Excluding Japan And Asia), Fromsoftware, Inc. (Japan), 方块游戏 (Asia)"
59,Megame Llc
60,Bohemia Interactive
61,Newnight
62,Crate Entertainment
63,Paradox Interactive
64,Taleworlds Entertainment
65,Gamigo Us Inc.
66,Bethesda Softworks
67,"Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
68,Owlcat Games
69,Semiwork
70,2K
71,"Gearbox Publishing, 2K"
72,The Behemoth
73,Robtop Games
74,Lever Games
75,"Crystal Dynamics, Feral Interactive (Mac)"
76,Hello Games
77,Team Cherry
78,Freejam
79,World Makers
80,Beamng
81,Unknown Worlds Entertainment
82,Raw Fury
83,"Drinkbox Studios, Kepler Ghost"
84,Evil Landfall?
85,"Activision, Aspyr (Mac)"
86,Warchest Ltd.
87,"Nicalis, Inc."
88,Northwood Studios
89,Pearl Abyss
90,New Blood Interactive
91,Focus Entertainment
92,Torn Banner Studios
93,505 Games
94,"2K, Feral Interactive (Mac), Feral Interactive (Linux)"
95,Poncle
96,Playsaurus
97,"Expansive Worlds, Avalanche Studios"
98,Dani
99,Kog
100,Blender Foundation
101,Supergiant Games
102,Sgtokidoki
103,Wube Software Ltd.
104,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)"
105,"Sega, Feral Interactive (Mac), Feral Interactive (Linux)"
106,Tobyfox
107,Mega Crit
108,Motion Twin
109,Studio Mdhr Entertainment Inc.
110,Studio Minus
111,"Nimble Neuron, Sapstar Games"
112,Team Psykskallar
113,Gamepires
114,1047 Games
115,Scopely
116,Arc Games
117,8Floor
118,Team Salvato
119,Sega
120,Stunlock Studios
121,Fishsoft Llc
122,Ludeon Studios
123,Nexon
124,Yager
125,Io Interactive A/S
126,Op Productions Llc
127,Bandai Namco Entertainment
128,Avalanche Studios
129,Running With Scissors
130,"Warner Bros. Interactive Entertainment, Warner Bros. Games"
131,Hyper Hippo Games
132,Funcom
133,Mintrocket
134,Edge Of Reality
135,Void Interactive
136,Little Orbit
137,Annapurna Interactive
138,Deep Silver
139,Fishing Planet Llc
140,Square Enix
141,Tortuga Team
142,Eagle Dynamics Sa
143,Mob Entertainment
144,Ninja Kiwi
145,Red Hook Studios
146,Sandbox Interactive Gmbh
147,Tinybuild
148,Chucklefish
149,"Lucasfilm, Lucasarts, Disney"
150,Landfall
151,"Microids Indie, Microids"
152,Tripwire Interactive
153,11 Bit Studios
154,Frictional Games
155,Jesse Makkonen
156,"Cd Projekt Red, 1C-Softclub"
157,Subset Games
158,Berserk Games
159,Devolver Digital
160,Vostok Games
161,Centerpoint Gaming
162,"Frozen District, Playway S.A."
163,Playdead
164,"Popcap Games, Inc., Electronic Arts"
165,Source Technology
166,Daybreak Game Company Llc
167,Beat Games
168,Quantic Dream
169,Scott Cawthon
170,Wb Games
171,"Warner Bros. Games, Warner Bros. Interactive Entertainment"
172,Ccp
173,Sharkmob Ab
174,Keen Games Gmbh
175,"Io Interactive A/S, Feral Interactive (Linux), Feral Interactive (Mac)"
176,Nijico
177,Playstack
178,Xd
179,Kepler Interactive
180,Keen Software House
181,Gamirror Games
182,Deaddevstellnolies
183,"2K, Aspyr (Linux)"
184,Private Division
185,"Sega, Feral Interactive"
186,Fistful Of Frags Team
